1233,096650_1..S07R,Local,Thursday,1231.0,1243.0,1
1322,099850_1..S07R,Local,Friday,1263.0,1274.0,1
1322,102100_1..S,Local,Friday,1292.0,1303.0,1
1322,104600_1..S02R,Local,Friday,1312.0,1324.0,1
1435,108550_1..S02R,Local,Wednesday,1351.0,1363.0,1
1435,112550_1..S02R,Local,Wednesday,1392.0,1403.0,1
1435,116050_1..S02R,Local,Wednesday,1427.0,1438.0,1
1439,119550_1..S02R,Local,Friday,22.0,33.0,0
86,123550_1..S02R,Local,Wednesday,62.0,73.0,0
136,127650_1..S02R,Local,Saturday,104.0,115.0,0
151,131450_1..S02R,Local,Friday,141.0,152.0,0
192,136450_1..S02R,Local,Thursday,191.0,202.0,0
205,140650_1..S02X018,Local,Thursday,235.0,246.0,0
337,008550_1..S02X013,Local,Saturday,352.0,363.0,1
1194,084750_1..S02R,Local,Friday,1116.0,1127.0,1
1198,089400_1..S02R,Local,Thursday,1162.0,1173.0,1
1198,093400_1..S02R,Local,Thursday,1200.0,1212.0,1
1233,096900_1..S02R,Local,Thursday,1235.0,1247.0,1
1322,100100_1..S02R,Local,Friday,1268.0,1279.0,1
1322,102100_1..S02R,Local,Friday,1287.0,1299.0,1
1322,105050_1..S02R,Local,Friday,1317.0,1328.0,1
1435,109050_1..S02R,Local,Wednesday,1357.0,1368.0,1
1435,113050_1..S02R,Local,Wednesday,1397.0,1408.0,1
1435,116550_1..S02R,Local,Wednesday,1432.0,3.0,0
1439,120050_1..S02R,Local,Friday,27.0,38.0,0
86,124050_1..S02R,Local,Wednesday,67.0,78.0,0
136,128250_1..S02R,Local,Saturday,109.0,120.0,0
158,132450_1..S02R,Local,Saturday,151.0,162.0,0
188,136450_1..S02X023,Local,Friday,193.0,204.0,0
231,140650_1..S02X023,Local,Friday,233.0,244.0,0
336,010550_1..S02X013,Local,Saturday,372.0,383.0,1
1194,085350_1..S02R,Local,Friday,1121.0,1132.0,1
1198,089900_1..S02R,Local,Thursday,1165.0,1176.0,1
1233,093900_1..S02R,Local,Thursday,1207.0,1218.0,1
1233,097300_1..S02R,Local,Thursday,1239.0,1251.0,1
1322,100500_1..S02R,Local,Friday,1272.0,1283.0,1
1322,102600_1..S02R,Local,Friday,1292.0,1304.0,1
1322,105550_1..S02R,Local,Friday,1322.0,1333.0,1
1435,109550_1..S02R,Local,Wednesday,1362.0,1374.0,1
1435,113550_1..S02R,Local,Wednesday,1402.0,1413.0,1
1439,117050_1..S02R,Local,Friday,1436.0,7.0,0
1439,120550_1..S02R,Local,Friday,32.0,43.0,0
86,124550_1..S02R,Local,Wednesday,72.0,83.0,0
214,128850_1..S02R,Local,Friday,115.0,126.0,0
158,133450_1..S02R,Local,Saturday,161.0,172.0,0
205,137450_1..S02R,Local,Thursday,201.0,213.0,0
205,141850_1..S02X018,Local,Thursday,247.0,258.0,0
